#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.00E-07,0.680
4.00E-07,0.700
6.00E-07,0.700
8.00E-07,0.680
1.00E-06,0.680
1.20E-06,0.680
1.40E-06,0.680
1.60E-06,0.680
1.80E-06,0.680
2.00E-06,0.600
2.20E-06,0.620
2.40E-06,0.640
2.60E-06,0.580
2.80E-06,0.580
3.00E-06,0.580
3.20E-06,0.560
3.40E-06,0.560
3.60E-06,0.540
3.80E-06,0.560
4.00E-06,0.540
4.20E-06,0.500
4.40E-06,0.520
4.60E-06,0.460
4.80E-06,0.500
5.00E-06,0.500
5.20E-06,0.480
5.40E-06,0.460
5.60E-06,0.440
5.80E-06,0.420
6.00E-06,0.420
6.20E-06,0.400
6.40E-06,0.360
6.60E-06,0.380
6.80E-06,0.380
7.00E-06,0.340
7.20E-06,0.340
7.40E-06,0.340
7.60E-06,0.360
7.80E-06,0.320
8.00E-06,0.300
8.20E-06,0.280
8.40E-06,0.260
8.60E-06,0.240
8.80E-06,0.220
9.00E-06,0.260
9.20E-06,0.180
9.40E-06,0.200
9.60E-06,0.180
9.80E-06,0.160
1.00E-05,0.160
1.02E-05,0.120
1.04E-05,0.140
1.06E-05,0.140
1.08E-05,0.100
1.10E-05,0.120
1.12E-05,0.100
1.14E-05,0.060
1.16E-05,0.080
1.18E-05,0.060
1.20E-05,0.040
1.22E-05,0.040
1.24E-05,-0.020
1.26E-05,0.000
1.28E-05,0.000
1.30E-05,-0.040
1.32E-05,-0.020
1.34E-05,-0.060
1.36E-05,-0.080
1.38E-05,-0.080
1.40E-05,-0.060
1.42E-05,-0.100
1.44E-05,-0.100
1.46E-05,-0.140
1.48E-05,-0.160
1.50E-05,-0.180
1.52E-05,-0.160
1.54E-05,-0.180
1.56E-05,-0.200
1.58E-05,-0.240
1.60E-05,-0.220
1.62E-05,-0.240
1.64E-05,-0.300
1.66E-05,-0.260
1.68E-05,-0.300
1.70E-05,-0.300
1.72E-05,-0.320
1.74E-05,-0.360
1.76E-05,-0.360
1.78E-05,-0.340
1.80E-05,-0.360
1.82E-05,-0.360
1.84E-05,-0.400
1.86E-05,-0.440
1.88E-05,-0.440
1.90E-05,-0.440
1.92E-05,-0.480
1.94E-05,-0.460
1.96E-05,-0.460
1.98E-05,-0.480
2.00E-05,-0.520
2.02E-05,-0.540
2.04E-05,-0.520
2.06E-05,-0.540
2.08E-05,-0.580
2.10E-05,-0.600
2.12E-05,-0.600
2.14E-05,-0.620
2.16E-05,-0.620
2.18E-05,-0.600
2.20E-05,-0.620
2.22E-05,-0.620
2.24E-05,-0.660
2.26E-05,-0.680
2.28E-05,-0.720
2.30E-05,-0.700
2.32E-05,-0.680
2.34E-05,-0.740
2.36E-05,-0.740
2.38E-05,-0.780
2.40E-05,-0.760
2.42E-05,-0.800
2.44E-05,-0.760
2.46E-05,-0.780
2.48E-05,-0.820
2.50E-05,-0.840
2.52E-05,-0.840
2.54E-05,-0.860
2.56E-05,-0.880
2.58E-05,-0.900
2.60E-05,-0.900
2.62E-05,-0.920
2.64E-05,-0.940
2.66E-05,-0.900
2.68E-05,-0.980
2.70E-05,-0.960
2.72E-05,-0.960
2.74E-05,-1.020
2.76E-05,-1.000
2.78E-05,-1.020
2.80E-05,-1.040
2.82E-05,-1.060
2.84E-05,-1.080
2.86E-05,-1.060
2.88E-05,-1.060
2.90E-05,-1.100
2.92E-05,-1.120
2.94E-05,-1.120
2.96E-05,-1.140
2.98E-05,-1.140
3.00E-05,-1.140
3.02E-05,-1.180
3.04E-05,-1.160
3.06E-05,-1.200
3.08E-05,-1.220
3.10E-05,-1.160
3.12E-05,-1.220
3.14E-05,-1.240
3.16E-05,-1.200
3.18E-05,-1.240
3.20E-05,-1.280
3.22E-05,-1.240
3.24E-05,-1.280
3.26E-05,-1.280
3.28E-05,-1.280
3.30E-05,-1.340
3.32E-05,-1.320
3.34E-05,-1.320
3.36E-05,-1.340
3.38E-05,-1.320
3.40E-05,-1.360
3.42E-05,-1.380
3.44E-05,-1.340
3.46E-05,-1.420
3.48E-05,-1.400
3.50E-05,-1.400
3.52E-05,-1.460
3.54E-05,-1.400
3.56E-05,-1.420
3.58E-05,-1.460
3.60E-05,-1.400
3.62E-05,-1.460
3.64E-05,-1.480
3.66E-05,-1.440
3.68E-05,-1.480
3.70E-05,-1.480
3.72E-05,-1.460
3.74E-05,-1.500
3.76E-05,-1.500
3.78E-05,-1.520
3.80E-05,-1.520
3.82E-05,-1.540
3.84E-05,-1.560
3.86E-05,-1.500
3.88E-05,-1.560
3.90E-05,-1.580
3.92E-05,-1.600
3.94E-05,-1.580
3.96E-05,-1.600
3.98E-05,-1.580
4.00E-05,-1.600
4.02E-05,-1.640
4.04E-05,-1.640
4.06E-05,-1.640
4.08E-05,-1.640
4.10E-05,-1.620
4.12E-05,-1.680
4.14E-05,-1.660
4.16E-05,-1.680
4.18E-05,-1.680
4.20E-05,-1.640
4.22E-05,-1.660
4.24E-05,-1.720
4.26E-05,-1.700
4.28E-05,-1.700
4.30E-05,-1.680
4.32E-05,-1.700
4.34E-05,-1.740
4.36E-05,-1.700
4.38E-05,-1.680
4.40E-05,-1.740
4.42E-05,-1.700
4.44E-05,-1.740
4.46E-05,-1.720
4.48E-05,-1.720
4.50E-05,-1.760
4.52E-05,-1.720
4.54E-05,-1.760
4.56E-05,-1.740
4.58E-05,-1.720
4.60E-05,-1.760
4.62E-05,-1.780
4.64E-05,-1.780
4.66E-05,-1.760
4.68E-05,-1.820
4.70E-05,-1.760
4.72E-05,-1.760
4.74E-05,-1.820
4.76E-05,-1.760
4.78E-05,-1.800
4.80E-05,-1.820
4.82E-05,-1.800
4.84E-05,-1.780
4.86E-05,-1.820
4.88E-05,-1.800
4.90E-05,-1.800
4.92E-05,-1.820
4.94E-05,-1.800
4.96E-05,-1.820
4.98E-05,-1.820
5.00E-05,-1.860
5.02E-05,-1.800
5.04E-05,-1.800
5.06E-05,-1.860
5.08E-05,-1.800
5.10E-05,-1.820
5.12E-05,-1.840
5.14E-05,-1.800
5.16E-05,-1.860
5.18E-05,-1.820
5.20E-05,-1.840
5.22E-05,-1.840
5.24E-05,-1.860
5.26E-05,-1.840
5.28E-05,-1.840
5.30E-05,-1.840
5.32E-05,-1.780
5.34E-05,-1.840
5.36E-05,-1.840
5.38E-05,-1.840
5.40E-05,-1.840
5.42E-05,-1.820
5.44E-05,-1.820
5.46E-05,-1.840
5.48E-05,-1.840
5.50E-05,-1.840
5.52E-05,-1.860
5.54E-05,-1.800
5.56E-05,-1.820
5.58E-05,-1.820
5.60E-05,-1.820
5.62E-05,-1.840
5.64E-05,-1.800
5.66E-05,-1.840
5.68E-05,-1.820
5.70E-05,-1.820
5.72E-05,-1.840
5.74E-05,-1.800
5.76E-05,-1.800
5.78E-05,-1.840
5.80E-05,-1.820
5.82E-05,-1.820
5.84E-05,-1.820
5.86E-05,-1.800
5.88E-05,-1.800
5.90E-05,-1.820
5.92E-05,-1.840
5.94E-05,-1.800
5.96E-05,-1.780
5.98E-05,-1.800
6.00E-05,-1.800
6.02E-05,-1.800
6.04E-05,-1.780
6.06E-05,-1.820
6.08E-05,-1.760
6.10E-05,-1.780
6.12E-05,-1.780
6.14E-05,-1.760
6.16E-05,-1.780
6.18E-05,-1.740
6.20E-05,-1.740
6.22E-05,-1.760
6.24E-05,-1.740
6.26E-05,-1.720
6.28E-05,-1.780
6.30E-05,-1.760
6.32E-05,-1.740
6.34E-05,-1.700
6.36E-05,-1.700
6.38E-05,-1.720
6.40E-05,-1.700
6.42E-05,-1.660
6.44E-05,-1.700
6.46E-05,-1.700
6.48E-05,-1.680
6.50E-05,-1.720
6.52E-05,-1.660
6.54E-05,-1.700
6.56E-05,-1.680
6.58E-05,-1.640
6.60E-05,-1.640
6.62E-05,-1.640
6.64E-05,-1.640
6.66E-05,-1.640
6.68E-05,-1.600
6.70E-05,-1.620
6.72E-05,-1.620
6.74E-05,-1.580
6.76E-05,-1.620
6.78E-05,-1.600
6.80E-05,-1.600
6.82E-05,-1.580
6.84E-05,-1.600
6.86E-05,-1.560
6.88E-05,-1.600
6.90E-05,-1.560
6.92E-05,-1.560
6.94E-05,-1.580
6.96E-05,-1.520
6.98E-05,-1.520
7.00E-05,-1.480
7.02E-05,-1.500
7.04E-05,-1.540
7.06E-05,-1.480
7.08E-05,-1.520
7.10E-05,-1.460
7.12E-05,-1.460
7.14E-05,-1.440
7.16E-05,-1.500
7.18E-05,-1.440
7.20E-05,-1.400
7.22E-05,-1.460
7.24E-05,-1.420
7.26E-05,-1.400
7.28E-05,-1.380
7.30E-05,-1.340
7.32E-05,-1.400
7.34E-05,-1.340
7.36E-05,-1.380
7.38E-05,-1.360
7.40E-05,-1.340
7.42E-05,-1.340
7.44E-05,-1.340
7.46E-05,-1.320
7.48E-05,-1.340
7.50E-05,-1.280
7.52E-05,-1.280
7.54E-05,-1.240
7.56E-05,-1.280
7.58E-05,-1.280
7.60E-05,-1.280
7.62E-05,-1.220
7.64E-05,-1.200
7.66E-05,-1.220
7.68E-05,-1.220
7.70E-05,-1.240
7.72E-05,-1.160
7.74E-05,-1.140
7.76E-05,-1.160
7.78E-05,-1.140
7.80E-05,-1.120
7.82E-05,-1.120
7.84E-05,-1.100
7.86E-05,-1.100
7.88E-05,-1.100
7.90E-05,-1.080
7.92E-05,-1.080
7.94E-05,-1.060
7.96E-05,-1.000
7.98E-05,-1.080
8.00E-05,-1.000
8.02E-05,-1.020
8.04E-05,-1.040
8.06E-05,-0.960
8.08E-05,-0.960
8.10E-05,-1.000
8.12E-05,-0.960
8.14E-05,-0.980
8.16E-05,-0.940
8.18E-05,-0.940
8.20E-05,-0.920
8.22E-05,-0.880
8.24E-05,-0.880
8.26E-05,-0.860
8.28E-05,-0.860
8.30E-05,-0.840
8.32E-05,-0.840
8.34E-05,-0.820
8.36E-05,-0.840
8.38E-05,-0.800
8.40E-05,-0.760
8.42E-05,-0.780
8.44E-05,-0.760
8.46E-05,-0.760
8.48E-05,-0.760
8.50E-05,-0.680
8.52E-05,-0.720
8.54E-05,-0.660
8.56E-05,-0.660
8.58E-05,-0.680
8.60E-05,-0.680
8.62E-05,-0.640
8.64E-05,-0.620
8.66E-05,-0.600
8.68E-05,-0.600
8.70E-05,-0.600
8.72E-05,-0.560
8.74E-05,-0.580
8.76E-05,-0.580
