time	V(g1)	V(n002)
0.000000000000000e+000	-5.828188e-014	-1.549486e-002
1.136459180095528e-006	2.133092e-003	-3.839558e-002
3.409377540286585e-006	6.311012e-003	-8.337318e-002
7.409377540401607e-006	1.325574e-002	-1.581652e-001
1.140937754051663e-005	1.940127e-002	-2.239273e-001
1.540937754063165e-005	2.432775e-002	-2.755295e-001
1.940937754074668e-005	2.789465e-002	-3.110976e-001
2.190713218164220e-005	2.931165e-002	-3.236978e-001
2.361963244057463e-005	2.978025e-002	-3.263750e-001
2.573866799338020e-005	2.984476e-002	-3.236218e-001
2.770262017603997e-005	2.938694e-002	-3.150854e-001
3.089257727229011e-005	2.761886e-002	-2.896611e-001
3.489257727240513e-005	2.400586e-002	-2.426580e-001
3.889257727252016e-005	1.897547e-002	-1.812193e-001
4.289257727263518e-005	1.275278e-002	-1.088555e-001
4.689257727275020e-005	5.728784e-003	-3.065502e-002
5.089257727286523e-005	-1.655172e-003	4.817379e-002
5.489257727298025e-005	-8.935126e-003	1.227059e-001
5.889257727309527e-005	-1.565365e-002	1.886049e-001
6.289257727321029e-005	-2.138861e-002	2.423104e-001
6.689257727332532e-005	-2.577963e-002	2.811193e-001
7.089257727344034e-005	-2.883010e-002	3.059080e-001
7.246007245065300e-005	-2.953424e-002	3.106906e-001
7.430507054762003e-005	-2.986583e-002	3.114600e-001
7.624156887064970e-005	-2.977874e-002	3.080890e-001
7.852087861337509e-005	-2.902810e-002	2.979045e-001
8.221511163242212e-005	-2.657950e-002	2.695351e-001
8.621511163253715e-005	-2.249582e-002	2.248169e-001
9.021511163265217e-005	-1.703210e-002	1.662766e-001
9.421511163276719e-005	-1.049819e-002	9.661920e-002
9.821511163288221e-005	-3.304648e-003	1.974194e-002
1.022151116329972e-004	4.096542e-003	-5.972098e-002
1.062151116331123e-004	1.124033e-002	-1.366354e-001
1.102151116332273e-004	1.767785e-002	-2.057243e-001
1.142151116333423e-004	2.300460e-002	-2.620101e-001
1.182151116334573e-004	2.696955e-002	-3.022845e-001
1.214559930766690e-004	2.911079e-002	-3.222209e-001
1.230592877941028e-004	2.970526e-002	-3.265699e-001
1.245884746849946e-004	2.991044e-002	-3.264397e-001
1.263470148549217e-004	2.977124e-002	-3.219056e-001
1.286923591830025e-004	2.894228e-002	-3.084924e-001
1.324915814682193e-004	2.633923e-002	-2.727425e-001
1.364915814683343e-004	2.216017e-002	-2.198465e-001
1.404915814684493e-004	1.661053e-002	-1.534515e-001
1.444915814685643e-004	1.001720e-002	-7.812343e-002
1.484915814686794e-004	2.794450e-003	9.497484e-004
1.524915814687944e-004	-4.603886e-003	7.863075e-002
1.564915814689094e-004	-1.171294e-002	1.501975e-001
1.604915814690244e-004	-1.808603e-002	2.116065e-001
1.644915814691395e-004	-2.332271e-002	2.596363e-001
1.684915814692545e-004	-2.719701e-002	2.929491e-001
1.715611502968173e-004	-2.915912e-002	3.081327e-001
1.731899961128214e-004	-2.972814e-002	3.115030e-001
1.748206855149981e-004	-2.992030e-002	3.112126e-001
