time	V(g1)	V(out)
0.000000000000000e+000	0.000000e+000	3.148880e-014
3.999999984016789e-011	2.513274e-008	-4.346153e-013
3.091172699646199e-008	1.942254e-005	-1.037075e-005
6.178345399308381e-008	3.881971e-005	-3.180695e-005
9.265518098970564e-008	5.821663e-005	-6.430859e-005
1.235269079863275e-007	7.761331e-005	-1.078757e-004
1.543986349829493e-007	9.700975e-005	-1.625082e-004
1.852703619795711e-007	1.164060e-004	-2.282062e-004
2.161420889761929e-007	1.358019e-004	-3.049696e-004
3.199026016444524e-007	2.009872e-004	-6.135433e-004
4.626271068233879e-007	2.906363e-004	-1.159600e-003
6.464985805873299e-007	4.060954e-004	-2.015319e-003
8.941826595266234e-007	5.615360e-004	-3.350118e-003
1.220280134921984e-006	7.659736e-004	-5.294822e-003
1.673459751801671e-006	1.049529e-003	-8.171063e-003
2.316898349569302e-006	1.450614e-003	-1.237594e-002
3.316898349569302e-006	2.069015e-003	-1.894536e-002
4.316898349569302e-006	2.679251e-003	-2.545154e-002
5.316898349569302e-006	3.278913e-003	-3.184208e-002
6.316898349569301e-006	3.865634e-003	-3.808707e-002
7.316898349569301e-006	4.437100e-003	-4.416115e-002
8.316898349569301e-006	4.991055e-003	-5.003942e-002
9.316898349569301e-006	5.525311e-003	-5.569768e-002
1.031689834956930e-005	6.037763e-003	-6.111252e-002
1.131689834956930e-005	6.526385e-003	-6.627141e-002
1.218193435842779e-005	6.928352e-003	-7.049800e-002
1.313172768860568e-005	7.346094e-003	-7.486179e-002
1.413172768860569e-005	7.757626e-003	-7.914667e-002
1.513172768860569e-005	8.138541e-003	-8.309419e-002
1.613172768860568e-005	8.487338e-003	-8.668370e-002
1.713172768860569e-005	8.802639e-003	-8.990002e-002
1.813172768860569e-005	9.083200e-003	-9.272957e-002
1.913172768860569e-005	9.327915e-003	-9.516039e-002
2.013172768860569e-005	9.535816e-003	-9.718221e-002
2.113172768860569e-005	9.706083e-003	-9.878652e-002
2.213172768860569e-005	9.838045e-003	-9.996657e-002
2.313172768860569e-005	9.931181e-003	-1.007175e-001
2.413172768860569e-005	9.985123e-003	-1.010362e-001
2.513172768860569e-005	9.999657e-003	-1.009215e-001
2.613172768860569e-005	9.974728e-003	-1.003741e-001
2.713172768860569e-005	9.910434e-003	-9.939650e-002
2.813172768860569e-005	9.807027e-003	-9.799317e-002
2.913172768860569e-005	9.664916e-003	-9.617031e-002
3.013172768860569e-005	9.484664e-003	-9.393594e-002
3.113172768860569e-005	9.266978e-003	-9.129985e-002
3.213172768860569e-005	9.012721e-003	-8.827352e-002
3.313172768860569e-005	8.722894e-003	-8.487006e-002
3.413172768860569e-005	8.398642e-003	-8.110419e-002
3.513172768860568e-005	8.041244e-003	-7.699206e-002
3.613172768860568e-005	7.652111e-003	-7.255131e-002
3.713172768860568e-005	7.232779e-003	-6.780216e-002
3.811303741970865e-005	6.793525e-003	-6.285883e-002
3.911303741970865e-005	6.319355e-003	-5.755408e-002
4.011303741970865e-005	5.820245e-003	-5.200423e-002
4.111303741970865e-005	5.298166e-003	-4.623122e-002
4.211303741970864e-005	4.755178e-003	-4.025906e-002
4.311303741970864e-005	4.193422e-003	-3.411249e-002
4.411303741970864e-005	3.615117e-003	-2.781681e-002
4.511303741970864e-005	3.022545e-003	-2.139779e-002
4.611303741970863e-005	2.418044e-003	-1.488157e-002
4.711303741970863e-005	1.804001e-003	-8.294511e-003
4.811303741970863e-005	1.182838e-003	-1.663121e-003
4.911303741970862e-005	5.570066e-004	4.986080e-003
5.011303741970862e-005	-7.102291e-005	1.162666e-002
5.111303741970862e-005	-6.987721e-004	1.823240e-002
5.211303741970862e-005	-1.323764e-003	2.477734e-002
5.311303741970861e-005	-1.943531e-003	3.123596e-002
5.411303741970861e-005	-2.555628e-003	3.758319e-002
5.511303741970861e-005	-3.157639e-003	4.379458e-002
5.611303741970860e-005	-3.747188e-003	4.984631e-002
5.711303741970860e-005	-4.321949e-003	5.571532e-002
5.811303741970860e-005	-4.879653e-003	6.137938e-002
5.911303741970860e-005	-5.418099e-003	6.681715e-002
6.011303741970859e-005	-5.935163e-003	7.200825e-002
6.111303741970859e-005	-6.428803e-003	7.693332e-002
6.211303741970859e-005	-6.897072e-003	8.157461e-002
6.310607737112896e-005	-7.335149e-003	8.588480e-002
6.410607737112895e-005	-7.747446e-003	8.990838e-002
6.510607737112895e-005	-8.129166e-003	9.360044e-002
6.610607737112895e-005	-8.478804e-003	9.694692e-002
6.710607737112894e-005	-8.794981e-003	9.993564e-002
6.810607737112894e-005	-9.076447e-003	1.025557e-001
6.910607737112894e-005	-9.322094e-003	1.047976e-001
7.010607737112894e-005	-9.530949e-003	1.066531e-001
7.110607737112893e-005	-9.702192e-003	1.081156e-001
7.210607737112893e-005	-9.835144e-003	1.091796e-001
7.310607737112893e-005	-9.929280e-003	1.098413e-001
7.410607737112893e-005	-9.984231e-003	1.100982e-001
7.510607737112892e-005	-9.999778e-003	1.099491e-001
7.610607737112892e-005	-9.975861e-003	1.093945e-001
7.710607737112892e-005	-9.912573e-003	1.084363e-001
7.810607737112891e-005	-9.810166e-003	1.070776e-001
7.910607737112891e-005	-9.669041e-003	1.053232e-001
8.010607737112891e-005	-9.489758e-003	1.031791e-001
8.110607737112891e-005	-9.273023e-003	1.006530e-001
8.210607737112890e-005	-9.019691e-003	9.775378e-002
8.310607737112890e-005	-8.730764e-003	9.449163e-002
8.410607737112890e-005	-8.407379e-003	9.087824e-002
8.510607737112889e-005	-8.050814e-003	8.692656e-002
8.610607737112889e-005	-7.662477e-003	8.265084e-002
8.710607737112889e-005	-7.243899e-003	7.806674e-002
8.810348518720088e-005	-6.797928e-003	7.320361e-002
8.910348518720087e-005	-6.324005e-003	6.805401e-002
9.010348518720087e-005	-5.825125e-003	6.264952e-002
9.110348518720087e-005	-5.303255e-003	5.701001e-002
9.210348518720086e-005	-4.760456e-003	5.115651e-002
9.310348518720086e-005	-4.198870e-003	4.511100e-002
9.410348518720086e-005	-3.620713e-003	3.889630e-002
9.510348518720086e-005	-3.028266e-003	3.253602e-002
9.610348518720085e-005	-2.423868e-003	2.605451e-002
9.710348518720085e-005	-1.809904e-003	1.947670e-002
9.810348518720085e-005	-1.188797e-003	1.282808e-002
9.910348518720084e-005	-5.629990e-004	6.134559e-003
1.001034851872008e-004	6.502120e-005	-5.775973e-004
1.011034851872008e-004	6.927848e-004	-7.281897e-003
1.021034851872008e-004	1.317814e-003	-1.395172e-002
1.031034851872008e-004	1.937643e-003	-2.056041e-002
1.041034851872008e-004	2.549825e-003	-2.708141e-002
1.051034851872008e-004	3.151943e-003	-3.348839e-002
1.061034851872008e-004	3.741623e-003	-3.975529e-002
1.071034851872008e-004	4.316536e-003	-4.585652e-002
1.081034851872008e-004	4.874413e-003	-5.176705e-002
1.091034851872008e-004	5.413054e-003	-5.746248e-002
1.101034851872008e-004	5.930332e-003	-6.291921e-002
1.111034851872008e-004	6.424205e-003	-6.811456e-002
1.121034851872008e-004	6.892725e-003	-7.302687e-002
1.131025197121970e-004	7.333630e-003	-7.763112e-002
1.141025197121970e-004	7.746032e-003	-8.191682e-002
1.151025197121970e-004	8.127864e-003	-8.586146e-002
1.161025197121970e-004	8.477619e-003	-8.944827e-002
1.171025197121970e-004	8.793917e-003	-9.266206e-002
1.181025197121970e-004	9.075509e-003	-9.548919e-002
1.191025197121970e-004	9.321284e-003	-9.791764e-002
1.201025197121970e-004	9.530273e-003	-9.993710e-002
1.211025197121970e-004	9.701650e-003	-1.015390e-001
1.221025197121970e-004	9.834738e-003	-1.027166e-001
1.231025197121970e-004	9.929014e-003	-1.034648e-001
1.241025197121970e-004	9.984105e-003	-1.037807e-001
1.251025197121970e-004	9.999792e-003	-1.036630e-001
1.261025197121970e-004	9.976015e-003	-1.031122e-001
1.271025197121970e-004	9.912868e-003	-1.021309e-001
1.281025197121969e-004	9.810599e-003	-1.007235e-001
