Freq.	V(out)
1.00000000000000e+002	(6.96703767463670e+000dB,-1.44686376724230e+002°)
1.00230523807790e+002	(6.97301219123734e+000dB,-1.44663333550302e+002°)
1.00461579027840e+002	(6.97900180141648e+000dB,-1.44640217140750e+002°)
1.00693166885180e+002	(6.98500654801227e+000dB,-1.44617027854303e+002°)
1.00925288607668e+002	(6.99102647370783e+000dB,-1.44593766050939e+002°)
1.01157945425990e+002	(6.99706162103006e+000dB,-1.44570432091887e+002°)
1.01391138573668e+002	(7.00311203234824e+000dB,-1.44547026339623e+002°)
1.01624869287070e+002	(7.00917774987354e+000dB,-1.44523549157870e+002°)
1.01859138805412e+002	(7.01525881565746e+000dB,-1.44500000911592e+002°)
1.02093948370768e+002	(7.02135527159111e+000dB,-1.44476381966998e+002°)
1.02329299228075e+002	(7.02746715940372e+000dB,-1.44452692691536e+002°)
1.02565192625141e+002	(7.03359452066185e+000dB,-1.44428933453894e+002°)
1.02801629812647e+002	(7.03973739676818e+000dB,-1.44405104623995e+002°)
1.03038612044162e+002	(7.04589582896053e+000dB,-1.44381206572996e+002°)
1.03276140576140e+002	(7.05206985831065e+000dB,-1.44357239673289e+002°)
1.03514216667934e+002	(7.05825952572311e+000dB,-1.44333204298494e+002°)
1.03752841581801e+002	(7.06446487193434e+000dB,-1.44309100823460e+002°)
1.03992016582906e+002	(7.07068593751156e+000dB,-1.44284929624262e+002°)
1.04231742939330e+002	(7.07692276285127e+000dB,-1.44260691078199e+002°)
1.04472021922080e+002	(7.08317538817880e+000dB,-1.44236385563792e+002°)
1.04712854805090e+002	(7.08944385354664e+000dB,-1.44212013460780e+002°)
1.04954242865232e+002	(7.09572819883380e+000dB,-1.44187575150118e+002°)
1.05196187382322e+002	(7.10202846374433e+000dB,-1.44163071013977e+002°)
1.05438689639126e+002	(7.10834468780640e+000dB,-1.44138501435739e+002°)
1.05681750921366e+002	(7.11467691037123e+000dB,-1.44113866799994e+002°)
1.05925372517729e+002	(7.12102517061208e+000dB,-1.44089167492541e+002°)
1.06169555719872e+002	(7.12738950752262e+000dB,-1.44064403900381e+002°)
1.06414301822431e+002	(7.13376995991666e+000dB,-1.44039576411715e+002°)
1.06659612123026e+002	(7.14016656642642e+000dB,-1.44014685415944e+002°)
1.06905487922266e+002	(7.14657936550149e+000dB,-1.43989731303665e+002°)
1.07151930523760e+002	(7.15300839540813e+000dB,-1.43964714466666e+002°)
1.07398941234124e+002	(7.15945369422771e+000dB,-1.43939635297926e+002°)
1.07646521362983e+002	(7.16591529985581e+000dB,-1.43914494191608e+002°)
1.07894672222983e+002	(7.17239325000114e+000dB,-1.43889291543063e+002°)
1.08143395129794e+002	(7.17888758218446e+000dB,-1.43864027748817e+002°)
1.08392691402120e+002	(7.18539833373728e+000dB,-1.43838703206579e+002°)
1.08642562361706e+002	(7.19192554180105e+000dB,-1.43813318315227e+002°)
1.08893009333343e+002	(7.19846924332575e+000dB,-1.43787873474813e+002°)
1.09144033644875e+002	(7.20502947506913e+000dB,-1.43762369086555e+002°)
1.09395636627209e+002	(7.21160627359523e+000dB,-1.43736805552837e+002°)
1.09647819614318e+002	(7.21819967527365e+000dB,-1.43711183277201e+002°)
1.09900583943252e+002	(7.22480971627820e+000dB,-1.43685502664348e+002°)
1.10153930954141e+002	(7.23143643258590e+000dB,-1.43659764120132e+002°)
1.10407861990207e+002	(7.23807985997583e+000dB,-1.43633968051558e+002°)
1.10662378397766e+002	(7.24474003402816e+000dB,-1.43608114866775e+002°)
1.10917481526240e+002	(7.25141699012292e+000dB,-1.43582204975078e+002°)
1.11173172728159e+002	(7.25811076343887e+000dB,-1.43556238786898e+002°)
1.11429453359173e+002	(7.26482138895257e+000dB,-1.43530216713803e+002°)
1.11686324778056e+002	(7.27154890143727e+000dB,-1.43504139168491e+002°)
1.11943788346715e+002	(7.27829333546165e+000dB,-1.43478006564789e+002°)
1.12201845430196e+002	(7.28505472538886e+000dB,-1.43451819317645e+002°)
1.12460497396692e+002	(7.29183310537550e+000dB,-1.43425577843128e+002°)
1.12719745617551e+002	(7.29862850937025e+000dB,-1.43399282558421e+002°)
1.12979591467279e+002	(7.30544097111322e+000dB,-1.43372933881821e+002°)
1.13240036323555e+002	(7.31227052413442e+000dB,-1.43346532232727e+002°)
1.13501081567231e+002	(7.31911720175301e+000dB,-1.43320078031644e+002°)
1.13762728582343e+002	(7.32598103707612e+000dB,-1.43293571700174e+002°)
1.14024978756117e+002	(7.33286206299763e+000dB,-1.43267013661015e+002°)
1.14287833478977e+002	(7.33976031219724e+000dB,-1.43240404337951e+002°)
1.14551294144553e+002	(7.34667581713954e+000dB,-1.43213744155854e+002°)
1.14815362149688e+002	(7.35360861007242e+000dB,-1.43187033540675e+002°)
1.15080038894443e+002	(7.36055872302677e+000dB,-1.43160272919440e+002°)
1.15345325782109e+002	(7.36752618781466e+000dB,-1.43133462720248e+002°)
1.15611224219209e+002	(7.37451103602872e+000dB,-1.43106603372265e+002°)
1.15877735615512e+002	(7.38151329904106e+000dB,-1.43079695305716e+002°)
1.16144861384034e+002	(7.38853300800195e+000dB,-1.43052738951884e+002°)
1.16412602941049e+002	(7.39557019383906e+000dB,-1.43025734743106e+002°)
1.16680961706096e+002	(7.40262488725617e+000dB,-1.42998683112765e+002°)
1.16949939101987e+002	(7.40969711873229e+000dB,-1.42971584495284e+002°)
1.17219536554813e+002	(7.41678691852052e+000dB,-1.42944439326126e+002°)
1.17489755493952e+002	(7.42389431664697e+000dB,-1.42917248041786e+002°)
1.17760597352080e+002	(7.43101934290992e+000dB,-1.42890011079783e+002°)
1.18032063565172e+002	(7.43816202687848e+000dB,-1.42862728878661e+002°)
1.18304155572516e+002	(7.44532239789178e+000dB,-1.42835401877979e+002°)
1.18576874816716e+002	(7.45250048505776e+000dB,-1.42808030518307e+002°)
1.18850222743701e+002	(7.45969631725248e+000dB,-1.42780615241220e+002°)
1.19124200802737e+002	(7.46690992311850e+000dB,-1.42753156489295e+002°)
1.19398810446427e+002	(7.47414133106450e+000dB,-1.42725654706103e+002°)
1.19674053130724e+002	(7.48139056926389e+000dB,-1.42698110336206e+002°)
1.19949930314937e+002	(7.48865766565374e+000dB,-1.42670523825146e+002°)
1.20226443461741e+002	(7.49594264793407e+000dB,-1.42642895619446e+002°)
1.20503594037179e+002	(7.50324554356659e+000dB,-1.42615226166602e+002°)
1.20781383510677e+002	(7.51056637977373e+000dB,-1.42587515915075e+002°)
1.21059813355048e+002	(7.51790518353777e+000dB,-1.42559765314287e+002°)
1.21338885046497e+002	(7.52526198159966e+000dB,-1.42531974814616e+002°)
1.21618600064636e+002	(7.53263680045816e+000dB,-1.42504144867388e+002°)
1.21898959892486e+002	(7.54002966636889e+000dB,-1.42476275924873e+002°)
1.22179966016487e+002	(7.54744060534301e+000dB,-1.42448368440279e+002°)
1.22461619926504e+002	(7.55486964314680e+000dB,-1.42420422867743e+002°)
1.22743923115840e+002	(7.56231680530012e+000dB,-1.42392439662328e+002°)
1.23026877081238e+002	(7.56978211707579e+000dB,-1.42364419280017e+002°)
1.23310483322890e+002	(7.57726560349860e+000dB,-1.42336362177704e+002°)
1.23594743344450e+002	(7.58476728934421e+000dB,-1.42308268813189e+002°)
1.23879658653036e+002	(7.59228719913806e+000dB,-1.42280139645175e+002°)
1.24165230759240e+002	(7.59982535715489e+000dB,-1.42251975133254e+002°)
1.24451461177138e+002	(7.60738178741734e+000dB,-1.42223775737909e+002°)
1.24738351424294e+002	(7.61495651369524e+000dB,-1.42195541920503e+002°)
1.25025903021771e+002	(7.62254955950453e+000dB,-1.42167274143271e+002°)
1.25314117494141e+002	(7.63016094810638e+000dB,-1.42138972869319e+002°)
1.25602996369487e+002	(7.63779070250640e+000dB,-1.42110638562610e+002°)
1.25892541179416e+002	(7.64543884545347e+000dB,-1.42082271687965e+002°)
1.26182753459066e+002	(7.65310539943900e+000dB,-1.42053872711050e+002°)
1.26473634747114e+002	(7.66079038669595e+000dB,-1.42025442098373e+002°)
1.26765186585784e+002	(7.66849382919783e+000dB,-1.41996980317276e+002°)
1.27057410520853e+002	(7.67621574865802e+000dB,-1.41968487835927e+002°)
1.27350308101665e+002	(7.68395616652872e+000dB,-1.41939965123315e+002°)
