Freq.	V(n005)
1.00000000000000e+002	(6.96917769914911e+000dB,-1.44686853650730e+002°)
1.00230523807790e+002	(6.97515196710001e+000dB,-1.44663801866951e+002°)
1.00461579027840e+002	(6.98114132970869e+000dB,-1.44640676847555e+002°)
1.00693166885180e+002	(6.98714582980901e+000dB,-1.44617478951240e+002°)
1.00925288607668e+002	(6.99316551007965e+000dB,-1.44594208537957e+002°)
1.01157945425990e+002	(6.99920041304300e+000dB,-1.44570865968903e+002°)
1.01391138573668e+002	(7.00525058106433e+000dB,-1.44547451606526e+002°)
1.01624869287070e+002	(7.01131605635021e+000dB,-1.44523965814517e+002°)
1.01859138805412e+002	(7.01739688094786e+000dB,-1.44500408957811e+002°)
1.02093948370768e+002	(7.02349309674405e+000dB,-1.44476781402588e+002°)
1.02329299228075e+002	(7.02960474546379e+000dB,-1.44453083516264e+002°)
1.02565192625141e+002	(7.03573186866927e+000dB,-1.44429315667497e+002°)
1.02801629812647e+002	(7.04187450775901e+000dB,-1.44405478226180e+002°)
1.03038612044162e+002	(7.04803270396656e+000dB,-1.44381571563440e+002°)
1.03276140576140e+002	(7.05420649835937e+000dB,-1.44357596051637e+002°)
1.03514216667934e+002	(7.06039593183786e+000dB,-1.44333552064361e+002°)
1.03752841581801e+002	(7.06660104513425e+000dB,-1.44309439976430e+002°)
1.03992016582906e+002	(7.07282187881145e+000dB,-1.44285260163889e+002°)
1.04231742939330e+002	(7.07905847326198e+000dB,-1.44261013004005e+002°)
1.04472021922080e+002	(7.08531086870681e+000dB,-1.44236698875268e+002°)
1.04712854805090e+002	(7.09157910519448e+000dB,-1.44212318157385e+002°)
1.04954242865232e+002	(7.09786322259974e+000dB,-1.44187871231282e+002°)
1.05196187382322e+002	(7.10416326062251e+000dB,-1.44163358479097e+002°)
1.05438689639126e+002	(7.11047925878707e+000dB,-1.44138780284181e+002°)
1.05681750921366e+002	(7.11681125644034e+000dB,-1.44114137031092e+002°)
1.05925372517729e+002	(7.12315929275142e+000dB,-1.44089429105597e+002°)
1.06169555719872e+002	(7.12952340671033e+000dB,-1.44064656894666e+002°)
1.06414301822431e+002	(7.13590363712647e+000dB,-1.44039820786468e+002°)
1.06659612123026e+002	(7.14230002262807e+000dB,-1.44014921170372e+002°)
1.06905487922266e+002	(7.14871260166090e+000dB,-1.43989958436943e+002°)
