time	V(n002)
0.000000000000000e+000	5.637729e-001
1.123081473947823e-007	3.872410e-001
3.369244421843470e-007	5.456137e-003
7.369244421837062e-007	-7.249487e-001
1.136924442183065e-006	-1.458775e+000
1.536924442182425e-006	-2.115320e+000
1.936924442181784e-006	-2.626791e+000
2.189208641610596e-006	-2.839597e+000
2.360096142921611e-006	-2.909207e+000
2.571561693394744e-006	-2.915651e+000
2.766510082363033e-006	-2.842196e+000
3.083181821229158e-006	-2.573463e+000
3.483181821228518e-006	-2.051834e+000
3.883181821227877e-006	-1.383659e+000
4.283181821227236e-006	-6.482452e-001
4.683181821226595e-006	6.167679e-002
5.083181821225954e-006	6.712855e-001
5.483181821225314e-006	1.135615e+000
5.883181821224673e-006	1.444242e+000
6.283181821224032e-006	1.616362e+000
6.683181821223391e-006	1.701100e+000
6.733181821223094e-006	1.706083e+000
6.833181821222500e-006	1.710348e+000
7.033181821223047e-006	1.714518e+000
7.225152589124956e-006	1.715669e+000
7.404671255239678e-006	1.715702e+000
7.642269844966229e-006	1.715658e+000
7.812162528885586e-006	1.715627e+000
7.819096924146715e-006	1.715626e+000
7.832965714670709e-006	1.715624e+000
7.833399114373987e-006	1.715623e+000
7.834265913782279e-006	1.715623e+000
7.835999512597128e-006	1.715623e+000
7.839466710228560e-006	1.715621e+000
7.840333509636852e-006	1.715621e+000
7.848254663153196e-006	1.715616e+000
7.856175816669541e-006	1.715606e+000
7.864096970185885e-006	1.715591e+000
7.872018123702229e-006	1.715571e+000
7.879939277218573e-006	1.715547e+000
7.887860430734919e-006	1.715518e+000
7.895781584251263e-006	1.715484e+000
7.951256746347238e-006	1.715039e+000
8.062207070539187e-006	1.712580e+000
8.284107718923087e-006	1.696498e+000
8.684107718922446e-006	1.619904e+000
9.084107718921805e-006	1.452158e+000
9.484107718921164e-006	1.148786e+000
9.884107718920523e-006	6.887351e-001
1.028410771891988e-005	8.145401e-002
1.068410771891924e-005	-6.282789e-001
1.108410771891860e-005	-1.365376e+000
1.148410771891796e-005	-2.037830e+000
1.188410771891732e-005	-2.570558e+000
1.216934121623173e-005	-2.827892e+000
1.233543104791138e-005	-2.908826e+000
1.249250158894162e-005	-2.931419e+000
1.264721296212988e-005	-2.902048e+000
1.288957775616266e-005	-2.755085e+000
1.328191960031817e-005	-2.335584e+000
1.368191960031753e-005	-1.735569e+000
1.408191960031689e-005	-1.021674e+000
1.448191960031625e-005	-2.879744e-001
1.488191960031561e-005	3.799294e-001
1.528191960031497e-005	9.210064e-001
1.568191960031433e-005	1.307410e+000
1.608191960031369e-005	1.544216e+000
1.648191960031305e-005	1.677775e+000
1.653191960031275e-005	1.687058e+000
1.663191960031216e-005	1.697070e+000
1.683191960031270e-005	1.710759e+000
1.687162516482432e-005	1.712415e+000
1.695103629384930e-005	1.714298e+000
1.697088907610597e-005	1.714647e+000
1.701059464061759e-005	1.715083e+000
1.709000576964256e-005	1.715517e+000
1.724882802769077e-005	1.715724e+000
1.743400017321754e-005	1.715717e+000
1.765405038745352e-005	1.715677e+000
1.783007717954567e-005	1.715645e+000
1.783030056379947e-005	1.715645e+000
1.783074733230708e-005	1.715645e+000
1.783164086932229e-005	1.715644e+000
1.783186425357609e-005	1.715644e+000
1.783231102208370e-005	1.715644e+000
1.783320455909891e-005	1.715644e+000
1.783342794335271e-005	1.715644e+000
1.783359548154437e-005	1.715644e+000
1.783381886579817e-005	1.715644e+000
