time	V(g1)	V(out)
0.000000000000000e+000	0.000000e+000	3.148880e-014
9.999999960041972e-012	6.911504e-008	-5.221483e-013
1.999999992008394e-011	1.382301e-007	-3.755070e-012
1.999999992008395e-010	1.382301e-006	-1.907092e-009
3.799999984815950e-010	2.626372e-006	-1.004698e-008
5.599999977623506e-010	3.870442e-006	-2.442341e-008
7.399999970431061e-010	5.114513e-006	-4.503640e-008
9.199999963238616e-010	6.358584e-006	-7.188594e-008
1.099999995604617e-009	7.602654e-006	-1.049720e-007
1.279999994885372e-009	8.846725e-006	-1.442947e-007
1.023999995908298e-008	7.077380e-005	-1.004659e-005
2.047999991816596e-008	1.415476e-004	-4.000434e-005
4.095999983633192e-008	2.830951e-004	-1.538328e-004
7.736101941136337e-008	5.346804e-004	-5.067593e-004
1.301506993881582e-007	8.995346e-004	-1.329971e-003
2.065085766887086e-007	1.427275e-003	-3.096242e-003
3.087794464748447e-007	2.134097e-003	-6.361133e-003
4.472493136492560e-007	3.091064e-003	-1.209420e-002
6.283848199179572e-007	4.342802e-003	-2.129290e-002
8.699945290338323e-007	6.012222e-003	-3.561828e-002
1.191106095081096e-006	8.230413e-003	-5.688707e-002
1.634237719301203e-006	1.129008e-002	-8.847946e-002
2.267183461005045e-006	1.565640e-002	-1.356799e-001
3.248383230674849e-006	2.241226e-002	-2.107432e-001
4.248383230674848e-006	2.927562e-002	-2.884515e-001
5.248383230674848e-006	3.611008e-002	-3.671038e-001
6.248383230674848e-006	4.290891e-002	-4.465295e-001
7.248383230674848e-006	4.966539e-002	-5.265973e-001
8.248383230674848e-006	5.637286e-002	-6.071697e-001
9.248383230674849e-006	6.302469e-002	-6.881054e-001
1.024838323067485e-005	6.961434e-002	-7.692590e-001
1.124838323067485e-005	7.613527e-002	-8.504819e-001
1.224838323067485e-005	8.258107e-002	-9.316289e-001
1.315645236768524e-005	8.836386e-002	-1.005110e+000
1.415645236768524e-005	9.464872e-002	-1.085655e+000
1.515645236768524e-005	1.008402e-001	-1.165672e+000
1.615645236768524e-005	1.069321e-001	-1.244994e+000
1.715645236768525e-005	1.129185e-001	-1.323461e+000
1.815645236768525e-005	1.187935e-001	-1.400916e+000
1.915645236768525e-005	1.245512e-001	-1.477198e+000
2.015645236768525e-005	1.301860e-001	-1.552150e+000
2.115645236768525e-005	1.356923e-001	-1.625616e+000
2.215645236768525e-005	1.410647e-001	-1.697442e+000
2.315645236768525e-005	1.462980e-001	-1.767476e+000
2.415645236768525e-005	1.513868e-001	-1.835569e+000
2.515645236768525e-005	1.563262e-001	-1.901576e+000
2.615645236768525e-005	1.611114e-001	-1.965357e+000
2.715645236768525e-005	1.657375e-001	-2.026774e+000
2.815645236768525e-005	1.702001e-001	-2.085695e+000
2.915645236768525e-005	1.744947e-001	-2.141994e+000
3.015645236768525e-005	1.786172e-001	-2.195549e+000
3.115645236768525e-005	1.825633e-001	-2.246246e+000
3.215645236768525e-005	1.863293e-001	-2.293976e+000
3.315645236768525e-005	1.899114e-001	-2.338637e+000
3.415645236768525e-005	1.933061e-001	-2.380134e+000
3.515645236768524e-005	1.965100e-001	-2.418380e+000
3.615645236768524e-005	1.995199e-001	-2.453294e+000
3.715645236768524e-005	2.023330e-001	-2.484833e+000
3.812224266588874e-005	2.048603e-001	-2.511972e+000
3.912224266588874e-005	2.072784e-001	-2.536579e+000
4.012224266588873e-005	2.094920e-001	-2.557644e+000
4.112224266588873e-005	2.114988e-001	-2.575097e+000
4.212224266588873e-005	2.132968e-001	-2.588905e+000
4.312224266588872e-005	2.148844e-001	-2.599047e+000
4.412224266588872e-005	2.162599e-001	-2.605506e+000
4.512224266588872e-005	2.174220e-001	-2.608277e+000
4.612224266588872e-005	2.183695e-001	-2.607361e+000
4.712224266588871e-005	2.191015e-001	-2.602770e+000
4.812224266588871e-005	2.196173e-001	-2.594521e+000
4.912224266588871e-005	2.199164e-001	-2.582642e+000
5.012224266588871e-005	2.199984e-001	-2.567168e+000
5.112224266588870e-005	2.198633e-001	-2.548141e+000
5.212224266588870e-005	2.195112e-001	-2.525612e+000
5.312224266588870e-005	2.189425e-001	-2.499639e+000
5.412224266588869e-005	2.181577e-001	-2.470288e+000
5.512224266588869e-005	2.171577e-001	-2.437630e+000
5.612224266588869e-005	2.159433e-001	-2.401746e+000
