time	V(n004)	V(n005)
0.000000000000000e+000	-2.046870e-005	-4.856823e-015
6.272918360084034e-006	-3.026256e-003	1.950245e-003
1.027291835997701e-005	-4.889108e-003	3.159094e-003
1.427291835986999e-005	-6.674882e-003	4.318123e-003
1.827291835976297e-005	-8.355408e-003	5.409053e-003
2.227291835965595e-005	-9.904175e-003	6.414677e-003
2.627291835954893e-005	-1.129675e-002	7.319139e-003
3.027291835944190e-005	-1.251116e-002	8.108174e-003
3.427291835933488e-005	-1.352825e-002	8.769338e-003
3.827291835922786e-005	-1.433196e-002	9.292205e-003
4.227291835912084e-005	-1.490962e-002	9.668527e-003
4.627291835901382e-005	-1.526466e-002	9.900508e-003
4.944439592025063e-005	-1.537322e-002	9.972295e-003
5.279347453313044e-005	-1.530368e-002	9.928646e-003
5.679347453302341e-005	-1.500182e-002	9.734584e-003
6.079347453291639e-005	-1.447322e-002	9.393406e-003
6.479347453280937e-005	-1.371633e-002	8.904088e-003
6.879347453270235e-005	-1.274310e-002	8.274348e-003
7.279347453259533e-005	-1.156888e-002	7.514117e-003
7.679347453248830e-005	-1.021221e-002	6.635383e-003
8.079347453238128e-005	-8.694489e-003	5.652006e-003
8.479347453227426e-005	-7.039657e-003	4.579492e-003
8.879347453216724e-005	-5.273823e-003	3.434758e-003
9.279347453206022e-005	-3.424841e-003	2.235855e-003
1.007934745318462e-004	4.050570e-004	-2.482689e-004
1.047934745317392e-004	2.325570e-003	-1.494314e-003
1.087934745316321e-004	4.209376e-003	-2.716793e-003
1.127934745315251e-004	6.026770e-003	-3.896427e-003
1.167934745314181e-004	7.749097e-003	-5.014611e-003
1.207934745313111e-004	9.349202e-003	-6.053713e-003
1.247934745312040e-004	1.080186e-002	-6.997344e-003
1.287934745310970e-004	1.208417e-002	-7.830622e-003
1.327934745309900e-004	1.317591e-002	-8.540407e-003
1.367934745308830e-004	1.405989e-002	-9.115504e-003
1.407934745307760e-004	1.472216e-002	-9.546844e-003
1.447934745306689e-004	1.515229e-002	-9.827625e-003
1.487934745305619e-004	1.534717e-002	-9.955805e-003
1.525513753282137e-004	1.530639e-002	-9.930978e-003
1.565513753281067e-004	1.502535e-002	-9.750348e-003
1.605513753279997e-004	1.451107e-002	-9.418333e-003
1.645513753278927e-004	1.376797e-002	-8.937785e-003
1.685513753277856e-004	1.280777e-002	-8.316284e-003
1.725513753276786e-004	1.164560e-002	-7.563629e-003
1.765513753275716e-004	1.029978e-002	-6.691691e-003
1.805513753274646e-004	8.791528e-003	-5.714222e-003
1.845513753273576e-004	7.144619e-003	-4.646635e-003
1.885513753272505e-004	5.385019e-003	-3.505769e-003
1.925513753271435e-004	3.540470e-003	-2.309614e-003
2.005513753269295e-004	-2.862527e-004	1.725281e-004
2.045513753268224e-004	-2.208081e-003	1.419371e-003
2.085513753267154e-004	-4.095118e-003	2.643830e-003
2.125513753266084e-004	-5.917599e-003	3.826594e-003
2.165513753265014e-004	-7.646779e-003	4.949010e-003
2.205513753263944e-004	-9.255379e-003	5.993378e-003
2.245513753262873e-004	-1.071802e-002	6.943226e-003
2.285513753261803e-004	-1.201163e-002	7.783576e-003
2.325513753260733e-004	-1.311580e-002	8.501174e-003
2.365513753259663e-004	-1.401310e-002	9.084703e-003
2.405513753258592e-004	-1.468938e-002	9.524962e-003
2.445513753257522e-004	-1.513397e-002	9.815006e-003
2.485513753256452e-004	-1.534121e-002	9.951148e-003
2.524612588925557e-004	-1.530861e-002	9.931699e-003
2.564612588924486e-004	-1.503517e-002	9.756071e-003
2.604612588923416e-004	-1.452595e-002	9.427473e-003
2.644612588922346e-004	-1.378762e-002	8.950196e-003
2.684612588921276e-004	-1.283182e-002	8.331770e-003
2.724612588920206e-004	-1.167363e-002	7.581947e-003
2.764612588919135e-004	-1.033134e-002	6.712552e-003
2.804612588918065e-004	-8.826110e-003	5.737296e-003
2.844612588916995e-004	-7.181698e-003	4.671560e-003
2.884612588915925e-004	-5.424044e-003	3.532150e-003
2.924612588914854e-004	-3.580872e-003	2.337036e-003
3.004612588912714e-004	2.448412e-004	-1.443324e-004
