time	V(salida)
0.000000000000000e+000	5.892586e+000
1.000000000000306e-005	5.911048e+000
3.000000000000225e-005	5.970198e+000
7.000000000000062e-005	6.199695e+000
1.499999999999974e-004	7.029826e+000
2.500000000000002e-004	8.686821e+000
3.500000000000031e-004	1.104651e+001
4.500000000000060e-004	1.402606e+001
5.500000000000088e-004	1.730630e+001
5.917391766645935e-004	1.843370e+001
6.387466866429464e-004	1.918974e+001
6.501063394188239e-004	1.928767e+001
6.610450079833422e-004	1.934745e+001
6.736088547356842e-004	1.940469e+001
6.947813252918336e-004	1.948288e+001
7.240437843107558e-004	1.956820e+001
7.546158767021485e-004	1.963473e+001
7.954220311497326e-004	1.968794e+001
8.397524035163931e-004	1.968216e+001
8.995099838045514e-004	1.954945e+001
9.620662677818290e-004	1.924899e+001
1.033249567647235e-003	1.868680e+001
1.133249567647238e-003	1.757604e+001
1.233249567647241e-003	1.616428e+001
1.333249567647243e-003	1.450803e+001
1.433249567647246e-003	1.271340e+001
1.533249567647249e-003	1.090352e+001
1.633249567647252e-003	9.214792e+000
1.733249567647255e-003	7.790666e+000
1.833249567647258e-003	6.773139e+000
1.933249567647261e-003	6.292595e+000
2.033249567647263e-003	6.456808e+000
2.133249567647266e-003	7.339978e+000
2.233249567647269e-003	8.971892e+000
2.333249567647272e-003	1.132373e+001
2.433249567647275e-003	1.426723e+001
2.533249567647278e-003	1.746984e+001
2.573883228104423e-003	1.852667e+001
2.617655866205389e-003	1.919981e+001
2.628222633345910e-003	1.928878e+001
2.640086819580889e-003	1.935407e+001
2.652743823487062e-003	1.941230e+001
2.671433299136487e-003	1.948187e+001
2.701211889178469e-003	1.956964e+001
2.729789386791713e-003	1.963248e+001
2.773383558221813e-003	1.969013e+001
2.815621290234757e-003	1.968399e+001
2.878944827438758e-003	1.952846e+001
2.957982640778338e-003	1.911062e+001
3.034360150749399e-003	1.845358e+001
3.134360150749402e-003	1.726035e+001
3.234360150749405e-003	1.577778e+001
3.334360150749408e-003	1.407278e+001
3.434360150749410e-003	1.225559e+001
3.534360150749413e-003	1.045283e+001
3.634360150749416e-003	8.803310e+000
3.734360150749419e-003	7.451270e+000
3.834360150749422e-003	6.537401e+000
3.934360150749425e-003	6.188389e+000
4.034360150749428e-003	6.505817e+000
4.134360150749430e-003	7.555249e+000
4.234360150749433e-003	9.355268e+000
4.334360150749436e-003	1.186137e+001
4.434360150749439e-003	1.489884e+001
4.534360150749442e-003	1.803842e+001
4.566506457660276e-003	1.882746e+001
4.579907180708678e-003	1.902507e+001
4.591266852018931e-003	1.913513e+001
4.604173918621737e-003	1.923572e+001
4.615962457957833e-003	1.931062e+001
4.631298116151386e-003	1.938875e+001
4.653005424688730e-003	1.947686e+001
4.675205297778019e-003	1.954669e+001
4.708491039119724e-003	1.962538e+001
4.743500761358252e-003	1.967882e+001
4.789327147189326e-003	1.969215e+001
4.836866887006810e-003	1.961920e+001
4.894760777378208e-003	1.939238e+001
4.963625585399832e-003	1.891877e+001
5.063625585399835e-003	1.790248e+001
5.163625585399838e-003	1.656469e+001
5.263625585399841e-003	1.495213e+001
5.363625585399844e-003	1.316552e+001
5.463625585399846e-003	1.132368e+001
5.563625585399849e-003	9.560551e+000
5.663625585399852e-003	8.019575e+000
5.763625585399855e-003	6.845695e+000
5.863625585399858e-003	6.175533e+000
5.963625585399861e-003	6.126400e+000
6.063625585399864e-003	6.785131e+000
6.163625585399866e-003	8.197236e+000
6.263625585399869e-003	1.035450e+001
6.363625585399872e-003	1.317061e+001
6.463625585399875e-003	1.641383e+001
6.516071528036592e-003	1.810980e+001
6.539483222116636e-003	1.871125e+001
6.552278248459331e-003	1.892577e+001
6.559297740382941e-003	1.900862e+001
6.569002517191232e-003	1.910338e+001
6.579864855863697e-003	1.919293e+001
6.592254829267660e-003	1.927719e+001
6.607430154161542e-003	1.936113e+001
6.624963895520974e-003	1.943821e+001
6.650170268170247e-003	1.952456e+001
6.678059666255287e-003	1.959686e+001
6.719141821514361e-003	1.966924e+001
6.760862890466388e-003	1.969346e+001
6.811812242082160e-003	1.963128e+001
6.868670458664093e-003	1.942870e+001
6.935185889356037e-003	1.899590e+001
7.030357775607975e-003	1.806541e+001
7.130357775607978e-003	1.676199e+001
7.230357775607980e-003	1.517306e+001
7.330357775607983e-003	1.339211e+001
7.430357775607986e-003	1.153620e+001
7.530357775607989e-003	9.738283e+000
7.630357775607992e-003	8.141997e+000
7.730357775607995e-003	6.893871e+000
7.830357775607998e-003	6.133699e+000
7.930357775608000e-003	5.983506e+000
8.030357775608003e-003	6.536242e+000
8.130357775608006e-003	7.844862e+000
8.230357775608009e-003	9.910377e+000
8.330357775608012e-003	1.266117e+001
8.430357775608015e-003	1.589213e+001
8.482377957465481e-003	1.764783e+001
8.511139272941538e-003	1.849373e+001
8.529177944362469e-003	1.886303e+001
8.535546763323021e-003	1.894941e+001
8.544863756337444e-003	1.904965e+001
8.553287627522048e-003	1.912739e+001
8.564378808439153e-003	1.921345e+001
8.576856377690990e-003	1.929445e+001
8.590585207026304e-003	1.936735e+001
8.609140452624162e-003	1.944694e+001
8.629836970818719e-003	1.951729e+001
8.659457754038334e-003	1.959527e+001
8.691788677990753e-003	1.965672e+001
8.732827833936523e-003	1.969350e+001
8.777964711075316e-003	1.965836e+001
8.841537780217200e-003	1.946002e+001
8.910421635602239e-003	1.904799e+001
8.992077224435235e-003	1.829095e+001
9.092077224435238e-003	1.703701e+001
9.192077224435241e-003	1.549252e+001
9.292077224435244e-003	1.373358e+001
9.392077224435247e-003	1.187451e+001
9.492077224435250e-003	1.004613e+001
9.592077224435253e-003	8.391114e+000
9.692077224435255e-003	7.056834e+000
9.792077224435258e-003	6.185996e+000
9.892077224435261e-003	5.905693e+000
9.992077224435264e-003	6.316022e+000
1.009207722443527e-002	7.479052e+000
1.019207722443527e-002	9.407277e+000
1.029207722443527e-002	1.204626e+001
1.039207722443528e-002	1.520890e+001
1.047530036130986e-002	1.793989e+001
1.050382195136294e-002	1.869402e+001
1.051972722159922e-002	1.895990e+001
1.052728914777388e-002	1.904477e+001
1.053775006510436e-002	1.913988e+001
1.054862068495829e-002	1.922310e+001
1.056134444266480e-002	1.930283e+001
1.057953248908318e-002	1.939521e+001
1.059686030999291e-002	1.946501e+001
1.062322267515151e-002	1.954757e+001
1.065159262127229e-002	1.961521e+001
1.069158805681984e-002	1.967702e+001
1.073445343733250e-002	1.968787e+001
1.078816633094687e-002	1.959916e+001
1.084442588230967e-002	1.936943e+001
1.091285947090839e-002	1.888241e+001
1.101285947090840e-002	1.784184e+001
1.111285947090840e-002	1.647844e+001
1.121285947090840e-002	1.483977e+001
1.131285947090840e-002	1.302836e+001
1.141285947090841e-002	1.116509e+001
1.151285947090841e-002	9.386046e+000
1.161285947090841e-002	7.836759e+000
1.171285947090842e-002	6.664045e+000
1.181285947090842e-002	6.005947e+000
1.191285947090842e-002	5.980547e+000
1.201285947090842e-002	6.674665e+000
1.211285947090843e-002	8.132900e+000
1.221285947090843e-002	1.034501e+001
1.231285947090843e-002	1.322016e+001
1.241285947090844e-002	1.652573e+001
1.245522114257683e-002	1.794351e+001
1.247809684309879e-002	1.854879e+001
1.250618378287093e-002	1.902090e+001
1.251267865177674e-002	1.909266e+001
1.252285463704822e-002	1.917699e+001
1.253306637145052e-002	1.924843e+001
1.254975159725738e-002	1.934416e+001
1.256607847773103e-002	1.941912e+001
1.259128934546894e-002	1.950896e+001
1.261828556866107e-002	1.958245e+001
1.265802635034528e-002	1.965813e+001
1.269991536738413e-002	1.969176e+001
1.274960653865519e-002	1.964298e+001
1.281163819405580e-002	1.943568e+001
1.287686886988668e-002	1.902657e+001
1.296616001758238e-002	1.817262e+001
1.306616001758239e-002	1.689104e+001
1.316616001758239e-002	1.532036e+001
1.326616001758239e-002	1.354656e+001
1.336616001758240e-002	1.168552e+001
1.346616001758240e-002	9.869525e+000
1.356616001758240e-002	8.242193e+000
1.366616001758240e-002	6.950869e+000
1.376616001758241e-002	6.137106e+000
1.386616001758241e-002	5.925663e+000
1.396616001758241e-002	6.413120e+000
1.406616001758242e-002	7.656894e+000
1.416616001758242e-002	9.663473e+000
1.426616001758242e-002	1.236939e+001
1.436616001758242e-002	1.558057e+001
1.442613637823142e-002	1.759858e+001
1.445832618251559e-002	1.847914e+001
1.449392855316427e-002	1.908292e+001
1.450283342383113e-002	1.917307e+001
1.451290577950631e-002	1.924470e+001
1.452424545469187e-002	1.931267e+001
1.453972615939983e-002	1.938900e+001
1.456026066884555e-002	1.947062e+001
1.458312702897775e-002	1.954190e+001
1.461539161448125e-002	1.961861e+001
1.465074020052770e-002	1.967434e+001
1.469503785397705e-002	1.969132e+001
1.474198328079322e-002	1.962496e+001
1.479908364760908e-002	1.940923e+001
1.486730096935131e-002	1.894921e+001
1.496603967046846e-002	1.795590e+001
1.506603967046846e-002	1.662275e+001
1.516603967046847e-002	1.500735e+001
1.526603967046847e-002	1.320906e+001
1.536603967046847e-002	1.134705e+001
1.546603967046847e-002	9.556072e+000
1.556603967046848e-002	7.980976e+000
1.566603967046848e-002	6.768703e+000
1.576603967046848e-002	6.058451e+000
1.586603967046849e-002	5.970517e+000
1.596603967046849e-002	6.594967e+000
1.606603967046849e-002	7.980703e+000
1.616603967046849e-002	1.012319e+001
1.626603967046850e-002	1.294138e+001
1.636603967046850e-002	1.620340e+001
1.642576701988474e-002	1.814279e+001
1.644955125315682e-002	1.874556e+001
1.646062221058089e-002	1.892453e+001
1.646913280025468e-002	1.902194e+001
1.647940023708060e-002	1.911958e+001
1.649013835316686e-002	1.920500e+001
1.650308758148913e-002	1.928981e+001
1.651843486274571e-002	1.937140e+001
1.653752814176351e-002	1.945182e+001
1.656298159731034e-002	1.953508e+001
1.659359741379658e-002	1.961028e+001
1.663419454557202e-002	1.967476e+001
1.667886757867747e-002	1.968871e+001
1.672918746680790e-002	1.961013e+001
1.678504416288117e-002	1.938887e+001
1.685327986500987e-002	1.891441e+001
1.695327986500987e-002	1.788976e+001
1.705327986500987e-002	1.654045e+001
1.715327986500988e-002	1.491290e+001
1.725327986500988e-002	1.310878e+001
1.735327986500988e-002	1.124818e+001
1.745327986500989e-002	9.466509e+000
1.755327986500989e-002	7.908859e+000
1.765327986500989e-002	6.721921e+000
1.775327986500989e-002	6.044009e+000
1.785327986500990e-002	5.993928e+000
1.795327986500990e-002	6.659670e+000
1.805327986500990e-002	8.087470e+000
1.815327986500991e-002	1.026934e+001
1.825327986500991e-002	1.311843e+001
1.835327986500991e-002	1.640805e+001
1.839694365975696e-002	1.787296e+001
1.842125744267933e-002	1.852391e+001
1.845106835619281e-002	1.903001e+001
1.845838250090000e-002	1.910997e+001
1.846818856640715e-002	1.918899e+001
1.847911779556122e-002	1.926363e+001
1.849332638635365e-002	1.934335e+001
1.851270916642578e-002	1.943106e+001
1.853302985904812e-002	1.950325e+001
1.856322154788495e-002	1.958576e+001
1.859539326054187e-002	1.964963e+001
1.863782532248114e-002	1.969172e+001
1.868329146598534e-002	1.965976e+001
1.875025045756547e-002	1.945379e+001
1.881844331858690e-002	1.904681e+001
1.890008273033488e-002	1.828881e+001
1.900008273033488e-002	1.703502e+001
1.910008273033488e-002	1.549208e+001
1.920008273033488e-002	1.373590e+001
1.930008273033489e-002	1.188035e+001
1.940008273033489e-002	1.005612e+001
1.950008273033489e-002	8.405811e+000
1.960008273033490e-002	7.076584e+000
1.970008273033490e-002	6.210828e+000
1.980008273033490e-002	5.935277e+000
1.990008273033490e-002	6.349646e+000
2.000008273033491e-002	7.515608e+000
2.010008273033491e-002	9.445248e+000
2.020008273033491e-002	1.208360e+001
2.030008273033492e-002	1.524908e+001
2.037389164549865e-002	1.768608e+001
2.040854023479009e-002	1.861611e+001
2.043345255037792e-002	1.903227e+001
2.044258604313667e-002	1.912666e+001
2.045298787222474e-002	1.920850e+001
2.046418802076863e-002	1.928235e+001
2.047842144040095e-002	1.935945e+001
2.049716736703984e-002	1.944158e+001
2.051777001434942e-002	1.951279e+001
2.054725885699625e-002	1.959158e+001
2.057952915725880e-002	1.965404e+001
2.062089266615647e-002	1.969291e+001
2.066602159239024e-002	1.965582e+001
2.073815355522192e-002	1.942348e+001
2.080385270842483e-002	1.901767e+001
2.088960882002924e-002	1.819911e+001
2.098960882002925e-002	1.692220e+001
2.108960882002925e-002	1.535866e+001
2.118960882002925e-002	1.359036e+001
2.128960882002925e-002	1.173263e+001
2.138960882002926e-002	9.917305e+000
2.148960882002926e-002	8.287601e+000
2.158960882002926e-002	6.990626e+000
2.168960882002927e-002	6.167892e+000
2.178960882002927e-002	5.944357e+000
2.188960882002927e-002	6.417062e+000
2.198960882002927e-002	7.644152e+000
2.208960882002928e-002	9.633162e+000
2.218960882002928e-002	1.232234e+001
2.228960882002928e-002	1.551671e+001
2.236014413723499e-002	1.785733e+001
2.238806237680252e-002	1.860863e+001
2.241040595904470e-002	1.898775e+001
2.241972013738464e-002	1.909012e+001
2.242891405213346e-002	1.916828e+001
2.244058243059881e-002	1.925173e+001
2.245271458467835e-002	1.932394e+001
2.246858925471133e-002	1.940126e+001
2.248651496655982e-002	1.947137e+001
2.251294380878754e-002	1.955276e+001
2.254056049975615e-002	1.961791e+001
2.257842607122026e-002	1.967691e+001
2.262021158877922e-002	1.968819e+001
2.267766458618621e-002	1.959137e+001
2.273791624226877e-002	1.934059e+001
2.280377496654255e-002	1.886369e+001
2.290377496654256e-002	1.781092e+001
2.300377496654256e-002	1.644052e+001
2.310377496654256e-002	1.479795e+001
2.320377496654257e-002	1.298620e+001
2.330377496654257e-002	1.112648e+001
2.340377496654257e-002	9.355039e+000
2.350377496654257e-002	7.817328e+000
2.360377496654258e-002	6.659805e+000
2.370377496654258e-002	6.019844e+000
2.380377496654258e-002	6.014560e+000
2.390377496654259e-002	6.729524e+000
2.400377496654259e-002	8.207836e+000
2.410377496654259e-002	1.043737e+001
2.420377496654259e-002	1.332403e+001
2.430377496654260e-002	1.662773e+001
2.434798114195244e-002	1.807636e+001
2.437083901556802e-002	1.867113e+001
2.438544648025953e-002	1.892066e+001
2.439217921437353e-002	1.900130e+001
2.440151917788372e-002	1.909348e+001
2.441112384165700e-002	1.917469e+001
2.442166837468621e-002	1.924974e+001
2.443450532828025e-002	1.932575e+001
2.445050861094454e-002	1.940343e+001
2.446873779575073e-002	1.947419e+001
2.449538145969532e-002	1.955550e+001
2.452334752430255e-002	1.962072e+001
2.456120465311956e-002	1.967831e+001
2.460338275792665e-002	1.968726e+001
2.466100080659069e-002	1.958590e+001
2.472123932855931e-002	1.933027e+001
2.478717301169277e-002	1.884743e+001
2.488717301169277e-002	1.778703e+001
2.498717301169277e-002	1.641016e+001
2.508717301169278e-002	1.476291e+001
2.518717301169278e-002	1.294866e+001
2.528717301169278e-002	1.108899e+001
2.538717301169279e-002	9.320389e+000
2.548717301169279e-002	7.788467e+000
2.558717301169279e-002	6.639628e+000
2.568717301169279e-002	6.010985e+000
2.578717301169280e-002	6.019158e+000
2.588717301169280e-002	6.749034e+000
2.598717301169280e-002	8.242818e+000
2.608717301169281e-002	1.048712e+001
2.618717301169281e-002	1.338551e+001
2.628717301169281e-002	1.669416e+001
2.633063007468470e-002	1.811292e+001
2.635286255466240e-002	1.868589e+001
2.636636253106435e-002	1.891437e+001
2.637335263797454e-002	1.899816e+001
2.638261013088453e-002	1.909018e+001
2.639217911884687e-002	1.917164e+001
2.640246942735915e-002	1.924552e+001
2.641512190177894e-002	1.932114e+001
2.643123574292100e-002	1.940029e+001
2.644876402375591e-002	1.946922e+001
2.647538976580664e-002	1.955169e+001
2.650223904623363e-002	1.961548e+001
2.654076370605876e-002	1.968148e+001
2.656500000000001e-002	1.971033e+001
